,Unnamed: 0,総合評価,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令順守意識,人事評価の適正感,残業時間（月間）,有給休暇消化率
13,13,2,2,2,2,2,2,2,2,2,20,20
14,14,2,2,2,2,2,2,2,2,2,20,40
15,15,2,2,2,3,2,2,2,3,2,20,40
16,16,2,2,2,3,2,2,2,3,2,20,40
17,17,2,2,2,3,2,2,2,3,2,20,40
18,18,2,2,2,3,2,2,2,3,2,20,40
19,19,2,2,2,3,2,2,2,3,2,20,40
20,20,2,2,2,3,2,2,2,3,2,20,40
21,21,2,2,2,3,2,2,2,3,2,20,40
22,22,2,2,2,3,2,3,2,3,2,20,40
23,23,2,2,2,3,3,3,2,3,2,20,40
24,24,2,2,2,3,3,3,2,3,2,20,40
25,25,2,2,2,3,3,3,2,3,2,20,40
26,26,2,2,2,3,3,3,2,3,2,20,60
27,27,2,2,3,3,3,3,2,3,2,20,60
28,28,2,2,3,3,3,3,2,3,2,20,60
29,29,2,2,3,3,3,3,2,3,3,20,60
30,30,2,2,3,3,3,3,2,3,3,20,60
31,31,2,2,3,3,3,3,2,3,3,20,60
32,32,2,2,3,3,3,3,2,3,3,20,60
33,33,2,2,3,3,3,3,2,3,3,20,60
34,34,2,2,3,3,3,3,2,3,3,20,60
35,35,2,2,3,3,3,3,2,3,3,20,60
36,36,2,2,3,3,3,3,2,4,3,20,60
37,37,2,3,3,3,3,3,2,4,3,20,80
38,38,2,3,3,3,3,3,2,4,3,20,80
39,39,2,3,3,3,3,3,2,4,3,20,80
40,40,2,3,3,3,3,3,2,4,3,20,80
41,41,3,3,3,3,3,3,2,4,3,40,80
42,42,3,3,3,3,3,3,3,4,3,40,80
43,43,3,3,3,4,3,3,3,4,3,40,80
44,44,3,3,3,4,3,3,3,4,3,40,80
45,45,3,3,3,4,4,3,3,4,3,40,80
46,46,3,3,3,4,4,3,3,4,3,40,80
47,47,3,3,3,4,4,4,3,4,3,40,80
48,48,3,3,3,4,4,4,3,4,3,40,80
49,49,3,3,3,4,4,4,3,4,4,40,80
50,50,3,3,3,4,4,4,3,4,4,40,80
51,51,3,3,3,4,4,4,3,4,4,40,80
52,52,3,3,4,4,4,4,4,5,4,40,80
53,53,3,3,4,4,4,4,4,5,4,60,80
54,54,3,3,4,5,4,4,4,5,4,60,80
55,55,4,4,5,5,5,4,4,5,4,80,80
0,0,2,1,3,3,2,3,2,1,1,0,40
1,1,3,3,4,4,4,4,4,3,4,20,60
2,2,4,5,5,5,4,5,4,5,5,40,80
0,0,2,2,3,3,2,3,2,3,2,0,60
1,1,3,3,3,4,2,4,2,4,3,0,80
2,2,3,3,4,5,3,4,2,4,4,0,80
3,3,4,4,4,5,4,4,3,4,4,0,80
0,0,1,1,2,2,2,2,1,2,1,0,0
1,1,2,2,2,2,2,2,1,3,2,0,0
2,2,2,2,2,2,2,3,2,3,2,0,80
3,3,2,2,3,4,2,3,2,3,2,0,80
4,4,3,3,3,4,2,3,2,3,4,20,80
5,5,3,3,3,4,2,4,3,4,4,20,80
6,6,3,3,3,4,3,5,3,5,5,40,80
7,7,4,5,5,5,5,5,5,5,5,80,80
