,総合評価,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令順守意識,人事評価の適正感,残業時間（月間）,有給休暇消化率
0,2,2,3,3,2,3,2,3,2,0,60
1,3,3,3,4,2,4,2,4,3,0,80
2,3,3,4,5,3,4,2,4,4,0,80
3,4,4,4,5,4,4,3,4,4,0,80
